epoch,step,lr,train_loss,train_distill_loss,train_stream_loss,train_non_stream_loss,train_non_stream_apc_loss,train_cross_modal_apc_loss
34,18200,0.0008,0.0715,0.0087,0.0084,0.0074,0.0,0.1024
34,18300,0.0008,0.0711,0.0087,0.0082,0.007,0.0,0.1026
34,18400,0.0008,0.0717,0.0088,0.0085,0.0071,0.0,0.1028
34,18500,0.0008,0.0718,0.0088,0.0086,0.0072,0.0,0.1025
35,18600,0.0008,0.0686,0.0083,0.0078,0.0068,0.0,0.0994
35,18700,0.0008,0.0696,0.0084,0.0084,0.0064,0.0,0.1003
35,18800,0.0008,0.07,0.0085,0.0085,0.0063,0.0,0.101
35,18900,0.0008,0.0704,0.0086,0.0086,0.0062,0.0,0.1017
35,19000,0.0008,0.0704,0.0086,0.0086,0.0062,0.0,0.1016
35,19100,0.0008,0.0703,0.0086,0.0087,0.0062,0.0,0.1013
36,19200,0.0008,0.0693,0.0085,0.0084,0.0061,0.0,0.1002
36,19300,0.0008,0.0681,0.0084,0.008,0.0057,0.0,0.1
36,19400,0.0008,0.0678,0.0084,0.0079,0.0058,0.0,0.0995
36,19500,0.0008,0.0676,0.0083,0.0079,0.006,0.0,0.0988
36,19600,0.0008,0.0671,0.0081,0.0078,0.006,0.0,0.0979
37,19700,0.0008,0.0623,0.0073,0.0067,0.006,0.0,0.0917
37,19800,0.0008,0.063,0.0074,0.0067,0.0063,0.0,0.0926
37,19900,0.0008,0.0631,0.0074,0.0067,0.0067,0.0,0.0917
37,20000,0.0008,0.0634,0.0073,0.007,0.0071,0.0,0.091
37,20100,0.0008,0.0635,0.0072,0.0072,0.0071,0.0,0.0906
37,20200,0.0008,0.0643,0.0072,0.0077,0.0071,0.0,0.0906
38,20300,0.0008,0.0651,0.0073,0.0087,0.0058,0.0,0.0917
38,20400,0.0008,0.0637,0.0071,0.0081,0.0059,0.0,0.0906
38,20500,0.0008,0.0632,0.0071,0.0079,0.0061,0.0,0.0898
38,20600,0.0008,0.0628,0.007,0.0078,0.0059,0.0,0.0895
38,20700,0.0008,0.0626,0.007,0.0079,0.0058,0.0,0.0893
39,20800,0.0008,0.0612,0.007,0.0071,0.0055,0.0,0.0894
39,20900,0.0008,0.0612,0.0069,0.0074,0.0052,0.0,0.0889
39,21000,0.0008,0.0612,0.0069,0.0074,0.0055,0.0,0.0886
39,21100,0.0008,0.061,0.0068,0.0075,0.0057,0.0,0.0876
39,21200,0.0008,0.0609,0.0067,0.0075,0.0057,0.0,0.0872
40,21300,0.0008,0.0557,0.0062,0.0058,0.0045,0.0,0.0843
40,21400,0.0008,0.0575,0.0064,0.0066,0.0047,0.0,0.085
40,21500,0.0008,0.0574,0.0064,0.0065,0.0047,0.0,0.0851
40,21600,0.0008,0.0573,0.0064,0.0065,0.0049,0.0,0.0847
40,21700,0.0008,0.0576,0.0063,0.0066,0.0053,0.0,0.0843
40,21800,0.0008,0.0576,0.0062,0.0066,0.0054,0.0,0.0837
41,21900,0.0008,0.0562,0.0059,0.0065,0.0059,0.0,0.0803
41,22000,0.0008,0.0569,0.006,0.0068,0.0062,0.0,0.0806
41,22100,0.0008,0.0567,0.0059,0.0067,0.0062,0.0,0.08
41,22200,0.0008,0.0569,0.0058,0.007,0.0063,0.0,0.0796
41,22300,0.0008,0.0574,0.0058,0.0072,0.0064,0.0,0.0797
42,22400,0.0008,0.0544,0.0058,0.0064,0.0051,0.0,0.079
42,22500,0.0008,0.0549,0.0058,0.0068,0.0046,0.0,0.0795
42,22600,0.0008,0.0549,0.0058,0.0069,0.0045,0.0,0.0794
42,22700,0.0008,0.0547,0.0058,0.0069,0.0044,0.0,0.0793
42,22800,0.0008,0.0546,0.0058,0.0068,0.0044,0.0,0.0794
42,22900,0.0008,0.0547,0.0058,0.0068,0.0044,0.0,0.0794
43,23000,0.0008,0.0528,0.0057,0.0057,0.0044,0.0,0.0792
43,23100,0.0008,0.0519,0.0056,0.0055,0.0043,0.0,0.0779
43,23200,0.0008,0.0519,0.0056,0.0056,0.0043,0.0,0.0781
43,23300,0.0008,0.0521,0.0056,0.0056,0.0045,0.0,0.0778
43,23400,0.0008,0.0522,0.0055,0.0056,0.0049,0.0,0.0771
44,23500,0.0008,0.0516,0.0051,0.005,0.0077,0.0,0.0722
44,23600,0.0008,0.0502,0.005,0.005,0.0067,0.0,0.0715
44,23700,0.0008,0.0495,0.0049,0.005,0.0061,0.0,0.0714
44,23800,0.0008,0.0495,0.0049,0.0052,0.0057,0.0,0.0714
44,23900,0.0008,0.0501,0.005,0.0057,0.0054,0.0,0.0718
44,24000,0.0008,0.0508,0.005,0.0061,0.0053,0.0,0.0723
45,24100,0.0008,0.0516,0.0053,0.0068,0.0038,0.0,0.0745
45,24200,0.0008,0.0515,0.0052,0.0067,0.004,0.0,0.0742
45,24300,0.0008,0.0512,0.0052,0.0065,0.0043,0.0,0.0738
45,24400,0.0008,0.0513,0.0051,0.0066,0.0047,0.0,0.0731
45,24500,0.0008,0.0512,0.005,0.0066,0.0047,0.0,0.0727
46,24600,0.0008,0.0485,0.0049,0.0062,0.0035,0.0,0.071
46,24700,0.0008,0.0485,0.0048,0.0058,0.0044,0.0,0.0703
46,24800,0.0008,0.0487,0.0048,0.006,0.0043,0.0,0.0704
46,24900,0.0008,0.0488,0.0048,0.006,0.0042,0.0,0.0704
46,25000,0.0008,0.0489,0.0048,0.0061,0.0042,0.0,0.0706
46,25100,0.0008,0.0489,0.0048,0.0061,0.0043,0.0,0.0703
47,25200,0.0008,0.0466,0.0044,0.0051,0.0052,0.0,0.0673
47,25300,0.0008,0.0463,0.0044,0.0051,0.0049,0.0,0.0669
47,25400,0.0008,0.0458,0.0043,0.0051,0.0046,0.0,0.0668
47,25500,0.0008,0.0458,0.0043,0.005,0.0046,0.0,0.0668
47,25600,0.0008,0.046,0.0043,0.0051,0.0048,0.0,0.0666
48,25700,0.0008,0.0445,0.0042,0.0047,0.0044,0.0,0.0655
48,25800,0.0008,0.0439,0.0042,0.0045,0.0044,0.0,0.0649
48,25900,0.0008,0.0437,0.0041,0.0046,0.0044,0.0,0.0642
48,26000,0.0008,0.0444,0.0041,0.005,0.0044,0.0,0.0646
48,26100,0.0008,0.0446,0.0041,0.0051,0.0043,0.0,0.0649
48,26200,0.0008,0.045,0.0042,0.0053,0.0044,0.0,0.065
49,26300,0.0008,0.0457,0.0041,0.0056,0.0047,0.0,0.0647
49,26400,0.0008,0.0449,0.0041,0.0054,0.0042,0.0,0.0646
49,26500,0.0008,0.0446,0.0041,0.0054,0.004,0.0,0.0646
49,26600,0.0008,0.0445,0.0041,0.0054,0.004,0.0,0.0645
49,26700,0.0008,0.0444,0.0041,0.0054,0.0039,0.0,0.0644
50,26800,0.0008,0.0422,0.004,0.0049,0.0029,0.0,0.0636
50,26900,0.0008,0.0423,0.004,0.0047,0.0032,0.0,0.0635
50,27000,0.0008,0.0433,0.004,0.0052,0.0035,0.0,0.0636
50,27100,0.0008,0.0443,0.004,0.0057,0.0037,0.0,0.0637
50,27200,0.0008,0.0447,0.004,0.0059,0.0037,0.0,0.0638
50,27300,0.0008,0.0451,0.0041,0.0061,0.0037,0.0,0.0639
51,27400,0.0008,0.0426,0.004,0.005,0.0031,0.0,0.0636
51,27500,0.0008,0.0427,0.004,0.0048,0.0037,0.0,0.0633
51,27600,0.0008,0.0426,0.0039,0.0048,0.0039,0.0,0.0624
51,27700,0.0008,0.0423,0.0038,0.0048,0.0039,0.0,0.0621
51,27800,0.0008,0.0422,0.0038,0.0048,0.0039,0.0,0.0619
52,27900,0.0008,0.0389,0.0035,0.0038,0.0034,0.0,0.0593
52,28000,0.0008,0.0395,0.0036,0.0039,0.0035,0.0,0.06
52,28100,0.0008,0.0395,0.0036,0.0039,0.0035,0.0,0.0599
52,28200,0.0008,0.0397,0.0036,0.004,0.0035,0.0,0.0599
52,28300,0.0008,0.04,0.0036,0.0042,0.0035,0.0,0.0599
53,28400,0.0008,0.0394,0.0035,0.0041,0.0033,0.0,0.0594
53,28500,0.0008,0.0396,0.0035,0.0039,0.0043,0.0,0.0585
53,28600,0.0008,0.0398,0.0034,0.004,0.0047,0.0,0.0579
53,28700,0.0008,0.0406,0.0034,0.0044,0.0051,0.0,0.0575
53,28800,0.0008,0.0406,0.0034,0.0046,0.0049,0.0,0.0572
53,28900,0.0008,0.0414,0.0034,0.0051,0.0048,0.0,0.0576
54,29000,0.0008,0.0421,0.0034,0.0063,0.0032,0.0,0.0584
54,29100,0.0008,0.0416,0.0035,0.0061,0.0031,0.0,0.0584
54,29200,0.0008,0.0411,0.0035,0.0058,0.003,0.0,0.0583
54,29300,0.0008,0.0412,0.0035,0.0059,0.0031,0.0,0.0583
54,29400,0.0008,0.0414,0.0035,0.0059,0.0032,0.0,0.0583
55,29500,0.0008,0.04,0.0033,0.0051,0.0039,0.0,0.0566
55,29600,0.0008,0.0382,0.0033,0.0043,0.0034,0.0,0.0564
55,29700,0.0008,0.0381,0.0033,0.0041,0.0037,0.0,0.0561
55,29800,0.0008,0.038,0.0032,0.0041,0.0041,0.0,0.0554
55,29900,0.0008,0.0377,0.0031,0.004,0.0041,0.0,0.0549
55,30000,0.0008,0.0374,0.0031,0.004,0.0039,0.0,0.0545
56,30100,0.0008,0.0355,0.003,0.0037,0.0029,0.0,0.0537
56,30200,0.0008,0.0352,0.003,0.0037,0.0029,0.0,0.0533
56,30300,0.0008,0.0357,0.003,0.0037,0.0034,0.0,0.0531
56,30400,0.0008,0.036,0.003,0.0038,0.0037,0.0,0.053
56,30500,0.0008,0.0361,0.003,0.0039,0.0036,0.0,0.053
57,30600,0.0008,0.0374,0.0029,0.0049,0.0035,0.0,0.0528
57,30700,0.0008,0.0364,0.0029,0.0044,0.0034,0.0,0.0524
57,30800,0.0008,0.0361,0.0029,0.0043,0.0032,0.0,0.0524
57,30900,0.0008,0.0358,0.0029,0.0041,0.0033,0.0,0.0523
57,31000,0.0008,0.0358,0.0029,0.0041,0.0035,0.0,0.0521
57,31100,0.0008,0.0356,0.0029,0.004,0.0035,0.0,0.0519
58,31200,0.0008,0.0337,0.0027,0.0035,0.0028,0.0,0.0509
58,31300,0.0008,0.034,0.0028,0.0036,0.0028,0.0,0.0514
58,31400,0.0008,0.0341,0.0027,0.0035,0.0031,0.0,0.0513
58,31500,0.0008,0.0341,0.0027,0.0035,0.0031,0.0,0.0513
58,31600,0.0008,0.0342,0.0027,0.0036,0.003,0.0,0.0513
59,31700,0.0008,0.0349,0.0029,0.0041,0.0023,0.0,0.0527
59,31800,0.0008,0.035,0.0029,0.0043,0.0022,0.0,0.0523
59,31900,0.0008,0.0355,0.0029,0.0046,0.0023,0.0,0.0524
59,32000,0.0008,0.0363,0.0029,0.005,0.0023,0.0,0.0528
59,32100,0.0008,0.0368,0.003,0.0052,0.0023,0.0,0.053
59,32200,0.0008,0.0373,0.003,0.0055,0.0024,0.0,0.0531
60,32300,0.0008,0.037,0.0031,0.0052,0.0022,0.0,0.0536
60,32400,0.0008,0.0365,0.0031,0.0049,0.0023,0.0,0.0533
60,32500,0.0008,0.036,0.003,0.0046,0.0025,0.0,0.0527
60,32600,0.0008,0.0354,0.0029,0.0044,0.0026,0.0,0.0521
60,32700,0.0008,0.0355,0.0028,0.0044,0.003,0.0,0.0517
61,32800,0.0008,0.0328,0.0025,0.0031,0.0038,0.0,0.0483
61,32900,0.0008,0.0326,0.0025,0.0032,0.0035,0.0,0.0482
61,33000,0.0008,0.0325,0.0025,0.0032,0.0036,0.0,0.0479
61,33100,0.0008,0.0325,0.0025,0.0033,0.0036,0.0,0.0478
61,33200,0.0008,0.0328,0.0025,0.0034,0.0037,0.0,0.0477
61,33300,0.0008,0.033,0.0024,0.0035,0.0038,0.0,0.0477
62,33400,0.0008,0.0339,0.0024,0.0036,0.0049,0.0,0.0469
62,33500,0.0008,0.0329,0.0023,0.0035,0.0044,0.0,0.0463
62,33600,0.0008,0.0321,0.0023,0.0033,0.0041,0.0,0.0458
62,33700,0.0008,0.032,0.0023,0.0034,0.0039,0.0,0.0458
62,33800,0.0008,0.0319,0.0023,0.0034,0.0036,0.0,0.046
63,33900,0.0008,0.0299,0.0023,0.0031,0.0024,0.0,0.0456
63,34000,0.0008,0.0298,0.0023,0.003,0.0022,0.0,0.046
63,34100,0.0008,0.0307,0.0023,0.0034,0.0022,0.0,0.0463
63,34200,0.0008,0.0324,0.0024,0.0044,0.0022,0.0,0.0471
63,34300,0.0008,0.0335,0.0025,0.0049,0.0022,0.0,0.0476
64,34400,0.0008,0.0318,0.0025,0.0042,0.0016,0.0,0.0478
64,34500,0.0008,0.0326,0.0025,0.0041,0.002,0.0,0.0486
64,34600,0.0008,0.0318,0.0025,0.0038,0.002,0.0,0.048
64,34700,0.0008,0.0316,0.0025,0.0037,0.002,0.0,0.0477
64,34800,0.0008,0.0314,0.0025,0.0037,0.002,0.0,0.0475
64,34900,0.0008,0.0313,0.0025,0.0037,0.002,0.0,0.0474
65,35000,0.0008,0.03,0.0023,0.0032,0.0021,0.0,0.046
65,35100,0.0008,0.0295,0.0023,0.003,0.0021,0.0,0.0457
65,35200,0.0008,0.0294,0.0023,0.0029,0.0022,0.0,0.0456
65,35300,0.0008,0.0297,0.0023,0.0029,0.0026,0.0,0.0455
65,35400,0.0008,0.03,0.0023,0.0029,0.003,0.0,0.0451
66,35500,0.0008,0.0306,0.0021,0.0028,0.0051,0.0,0.0427
66,35600,0.0008,0.0303,0.0021,0.0026,0.0051,0.0,0.0423
